Month,Type,Count
2,Announcement,2
2,Culture,5
2,Dessert Sweet,2
2,Education,1
2,Drink,0
2,Food,3
2,Goods,1
2,Shop,3
2,Teaser,0
3,Announcement,3
3,Culture,1
3,Dessert Sweet,1
3,Education,0
3,Drink,0
3,Food,4
3,Goods,0
3,Shop,2
3,Teaser,0
4,Announcement,4
4,Culture,2
4,Dessert Sweet,0
4,Education,2
4,Drink,0
4,Food,1
4,Goods,0
4,Shop,2
4,Teaser,0
5,Announcement,0
5,Culture,1
5,Dessert Sweet,0
5,Education,0
5,Drink,0
5,Food,1
5,Goods,0
5,Shop,5
5,Teaser,2
6,Announcement,2
6,Culture,1
6,Dessert Sweet,1
6,Education,1
6,Drink,2
6,Food,0
6,Goods,0
6,Shop,1
6,Teaser,0
7,Announcement,0
7,Culture,0
7,Dessert Sweet,1
7,Education,0
7,Drink,0
7,Food,1
7,Goods,1
7,Shop,0
7,Teaser,3
8,Announcement,3
8,Culture,1
8,Dessert Sweet,7
8,Education,0
8,Drink,0
8,Food,0
8,Goods,2
8,Shop,0
8,Teaser,0
9,Announcement,2
9,Culture,1
9,Dessert Sweet,1
9,Education,0
9,Drink,1
9,Food,2
9,Goods,0
9,Shop,0
9,Teaser,1